Age,Budget,TravelFrequency,CulturalInterest,PrefersLocal,TechSavvy,GroupType,SeeksSpirituality,EcoFriendly,Region,EducationLevel,LanguageProficiency,PreferredDestinations,TravelPurpose,TravelCompanion,InternetUsageHours,CulturalEventParticipation,SocialMediaInfluence,HistoricalKnowledge,LocalCuisineInterest
56,49417,4,5,0,1,1,1,1,North-East,Master,5,Temples,Photography,Family,3,4,2,3,5
46,28938,2,5,1,2,1,1,0,East India,PhD,5,Nature Reserves,Adventure,Solo,3,0,1,5,5
32,28664,3,5,0,5,2,1,0,North-East,High School,1,Festivals,Leisure,Family,8,2,5,3,5
60,6636,4,3,0,3,4,1,1,South India,Master,3,Monuments,Adventure,Group Tour,8,3,4,3,3
25,25080,5,5,0,4,4,1,0,North India,Master,2,Temples,Education,Solo,8,0,1,4,5
38,32728,1,1,1,5,3,1,1,East India,PhD,1,Temples,Leisure,Friends,9,3,5,3,4
56,31736,5,4,1,3,2,0,0,South India,High School,2,Monuments,Adventure,Family,6,2,4,3,2
36,33673,4,1,0,3,1,0,1,South India,High School,2,Festivals,Education,Partner,1,3,3,2,1
40,42505,4,1,1,1,2,0,1,East India,Master,3,Temples,Photography,Partner,9,4,1,1,3
28,5854,4,5,0,2,3,0,1,North-East,Bachelor,2,Temples,Education,Group Tour,4,4,1,4,5
28,29548,5,4,0,2,3,1,0,South India,Master,2,Nature Reserves,Pilgrimage,Partner,3,3,3,4,5
41,43623,4,4,0,5,2,0,0,West India,Master,3,Festivals,Education,Family,7,0,3,4,2
53,12392,5,4,0,2,2,1,1,South India,Master,2,Temples,Education,Family,1,0,1,2,2
57,26556,4,3,1,4,2,0,1,North-East,Master,2,Festivals,Pilgrimage,Partner,5,0,3,3,3
41,43559,3,5,1,2,4,0,0,North-East,PhD,2,Monuments,Adventure,Family,4,3,2,1,1
20,31309,4,4,1,5,1,0,0,West India,High School,1,Museums,Adventure,Group Tour,1,0,4,5,5
39,26919,5,3,0,2,2,1,0,South India,PhD,1,Temples,Education,Solo,9,2,4,3,3
19,9931,2,2,1,4,2,0,1,North-East,PhD,1,Nature Reserves,Pilgrimage,Group Tour,0,4,4,2,4
41,37970,4,2,0,1,2,1,0,East India,PhD,3,Monuments,Pilgrimage,Group Tour,7,2,2,3,4
61,49215,2,3,1,5,3,1,0,North India,Master,5,Festivals,Photography,Family,1,0,3,3,3
47,17688,3,3,0,1,3,0,1,North India,Bachelor,2,Monuments,Adventure,Solo,6,2,5,2,5
55,30342,1,5,0,1,4,0,0,North India,High School,2,Temples,Leisure,Family,8,0,3,4,3
19,42157,3,5,0,1,1,0,0,South India,Bachelor,3,Festivals,Adventure,Friends,8,3,1,4,5
38,7327,4,2,1,3,4,1,0,West India,PhD,2,Museums,Adventure,Family,7,2,4,1,2
50,45772,2,4,1,3,1,0,1,North-East,PhD,1,Monuments,Photography,Family,9,3,3,1,3
29,45545,2,2,1,1,3,1,1,East India,Bachelor,5,Temples,Leisure,Family,8,3,5,4,5
39,5197,5,4,1,5,3,1,1,East India,Bachelor,4,Nature Reserves,Photography,Solo,1,1,1,5,3
61,28509,2,4,0,4,3,0,1,South India,Bachelor,2,Festivals,Leisure,Family,5,0,2,3,3
42,39698,5,5,1,4,4,0,1,North India,PhD,1,Monuments,Education,Solo,3,4,2,5,5
44,49542,1,1,1,2,2,1,1,South India,PhD,4,Monuments,Leisure,Partner,3,0,5,3,5
59,20087,4,1,0,5,2,1,1,West India,High School,5,Museums,Photography,Friends,4,4,1,4,1
45,27671,5,3,0,3,3,1,0,West India,High School,4,Museums,Adventure,Solo,2,0,4,1,3
33,30184,1,5,0,1,2,0,0,North-East,PhD,1,Nature Reserves,Leisure,Partner,0,3,3,1,4
32,32848,2,4,1,2,2,1,1,North-East,Bachelor,4,Nature Reserves,Leisure,Solo,7,2,1,5,3
64,47107,2,1,0,4,4,0,0,West India,Bachelor,3,Temples,Pilgrimage,Solo,4,2,2,1,3
61,25666,1,4,0,3,1,1,0,West India,High School,4,Temples,Adventure,Friends,2,1,5,4,5
20,49357,2,1,0,3,3,1,1,West India,PhD,2,Nature Reserves,Education,Group Tour,9,4,5,5,3
54,20708,1,1,1,1,3,0,0,South India,High School,2,Nature Reserves,Photography,Group Tour,6,4,3,3,3
24,31370,5,1,0,4,4,1,0,West India,High School,3,Festivals,Education,Solo,6,4,5,1,4
38,7811,5,5,1,5,4,0,0,East India,Master,1,Museums,Adventure,Family,0,3,5,2,5
26,11546,1,2,1,3,2,0,0,North India,Master,2,Temples,Leisure,Partner,8,4,1,1,3
56,39754,5,4,0,1,3,1,0,West India,Master,5,Museums,Leisure,Family,1,2,4,3,2
35,35206,5,5,0,5,1,0,1,North India,Bachelor,2,Museums,Adventure,Family,4,3,3,5,1
21,46106,5,5,1,4,4,0,1,South India,PhD,2,Nature Reserves,Leisure,Solo,4,0,1,3,4
42,16411,3,5,0,3,1,1,1,North India,PhD,1,Festivals,Leisure,Solo,7,4,4,2,3
31,7911,4,5,0,5,1,0,0,South India,PhD,4,Monuments,Leisure,Solo,7,4,1,4,2
26,6734,2,5,1,5,3,0,1,East India,PhD,2,Festivals,Photography,Solo,6,0,1,1,3
43,23227,3,3,1,5,3,0,0,South India,Master,3,Festivals,Photography,Group Tour,6,4,5,5,3
19,13680,5,4,0,3,4,1,0,South India,Bachelor,4,Museums,Pilgrimage,Solo,5,0,4,4,5
37,24360,1,5,1,3,3,0,0,North-East,Bachelor,5,Festivals,Education,Group Tour,5,3,3,3,5
45,23343,5,4,0,2,3,1,0,West India,Master,1,Temples,Adventure,Group Tour,8,2,3,5,5
64,10759,4,3,0,4,3,1,1,West India,Bachelor,5,Museums,Adventure,Solo,5,0,4,4,2
24,28078,5,3,0,1,1,0,1,East India,Master,4,Temples,Adventure,Friends,1,1,5,5,3
61,40153,1,4,1,5,4,0,0,East India,PhD,4,Monuments,Pilgrimage,Partner,1,0,2,2,1
25,16111,4,1,0,2,2,0,1,West India,Master,4,Museums,Photography,Family,4,4,1,2,4
64,42504,5,2,0,1,1,1,0,North-East,PhD,5,Monuments,Pilgrimage,Group Tour,3,3,5,1,5
52,6802,4,1,0,2,3,0,1,West India,PhD,4,Museums,Adventure,Partner,1,3,4,1,5
31,13155,2,1,1,3,1,0,1,North-East,High School,5,Nature Reserves,Education,Friends,2,0,1,2,3
34,13120,2,1,1,5,3,0,0,East India,Master,4,Festivals,Leisure,Family,6,2,3,5,3
53,44384,5,5,1,1,3,0,1,North India,High School,3,Nature Reserves,Photography,Family,7,1,2,2,2
57,26918,4,3,1,1,1,0,0,East India,Master,4,Monuments,Photography,Group Tour,5,3,3,1,2
21,25445,1,1,1,1,4,1,1,East India,Master,5,Festivals,Pilgrimage,Solo,4,4,4,2,5
19,35306,5,3,0,1,3,1,0,South India,High School,2,Museums,Photography,Friends,0,4,1,2,3
23,21646,2,4,1,1,4,0,0,South India,High School,4,Festivals,Adventure,Group Tour,7,2,4,5,1
59,36065,2,2,1,2,2,0,1,South India,Master,2,Temples,Adventure,Friends,2,3,1,4,4
21,30199,5,4,1,5,3,0,1,South India,Bachelor,3,Festivals,Pilgrimage,Solo,5,0,5,1,3
46,46976,4,4,0,3,4,0,0,North-East,PhD,1,Temples,Adventure,Solo,2,4,2,5,3
35,21371,2,5,1,3,4,1,1,West India,High School,3,Festivals,Education,Group Tour,6,2,5,2,2
43,16835,4,2,1,3,2,0,1,North India,PhD,4,Temples,Pilgrimage,Solo,6,3,5,2,4
61,7049,2,4,0,3,4,1,0,East India,Bachelor,2,Monuments,Education,Partner,8,3,4,4,5
51,36616,2,4,1,2,4,1,0,North-East,Bachelor,2,Nature Reserves,Leisure,Family,4,3,2,1,3
27,43191,3,2,0,4,2,0,1,North India,Bachelor,5,Museums,Education,Group Tour,7,3,1,1,5
53,25932,2,2,0,5,3,1,0,North-East,High School,2,Festivals,Leisure,Friends,9,3,1,3,3
31,34855,1,4,0,1,4,1,0,North-East,Bachelor,5,Nature Reserves,Leisure,Partner,9,4,3,1,5
48,12158,5,2,0,4,4,1,0,East India,High School,1,Museums,Education,Group Tour,7,2,1,4,4
32,48016,5,4,0,3,4,1,1,West India,Bachelor,4,Museums,Pilgrimage,Solo,0,3,4,3,2
25,12400,4,4,1,4,1,0,1,South India,PhD,5,Temples,Adventure,Solo,4,1,5,3,4
